iter	Passed	Remaining
0	131	131407
1	135	67375
2	138	45947
3	140	34898
4	142	28296
5	143	23814
6	145	20604
7	146	18215
8	148	16347
9	150	14892
10	151	13642
11	153	12598
12	154	11712
13	155	10946
14	156	10280
15	157	9693
16	158	9176
17	159	8714
18	160	8297
19	161	7919
20	163	7627
21	164	7318
22	165	7032
23	166	6769
24	167	6524
25	168	6297
26	168	6088
27	169	5893
28	170	5710
29	171	5542
30	172	5383
31	173	5235
32	173	5096
33	174	4965
34	175	4849
35	177	4742
36	178	4641
37	179	4536
38	180	4435
39	180	4340
40	181	4249
41	182	4163
42	183	4081
43	184	4002
44	185	3927
45	185	3854
46	186	3785
47	187	3719
48	188	3658
49	189	3598
50	190	3539
51	191	3497
52	192	3443
53	193	3397
54	195	3350
55	196	3316
56	197	3269
57	198	3223
58	199	3179
59	200	3136
60	201	3099
61	202	3062
62	205	3048
63	207	3028
64	208	2996
65	209	2961
66	210	2933
67	212	2906
68	213	2874
69	213	2841
70	214	2809
71	215	2778
72	216	2750
73	217	2721
74	218	2692
75	219	2664
76	220	2646
77	222	2626
78	223	2603
79	225	2588
80	225	2563
81	226	2539
82	227	2514
83	228	2496
84	230	2476
85	231	2457
86	232	2436
87	233	2414
88	233	2394
89	235	2380
90	236	2364
91	237	2348
92	239	2331
93	240	2313
94	241	2296
95	241	2277
96	242	2259
97	243	2241
98	244	2225
99	245	2210
100	246	2194
101	247	2178
102	248	2166
103	250	2160
104	252	2150
105	253	2139
106	254	2125
107	255	2111
108	256	2096
109	257	2081
110	258	2067
111	258	2052
112	259	2038
113	260	2025
114	261	2011
115	262	1998
116	262	1983
117	263	1972
118	265	1966
119	266	1954
120	267	1943
121	268	1931
122	269	1919
123	270	1908
124	270	1896
125	271	1884
126	272	1872
127	273	1861
128	274	1850
129	274	1839
130	275	1829
131	276	1818
132	277	1808
133	278	1798
134	280	1796
135	281	1786
136	282	1777
137	283	1768
138	283	1758
139	284	1750
140	285	1741
141	286	1730
142	287	1721
143	288	1712
144	289	1704
145	289	1695
146	290	1687
147	291	1678
148	292	1670
149	294	1671
150	296	1664
151	297	1657
152	298	1650
153	299	1644
154	300	1637
155	301	1629
156	302	1622
157	302	1614
158	303	1606
159	304	1598
160	305	1590
161	305	1582
162	306	1575
163	307	1567
164	309	1567
165	310	1561
166	311	1553
167	312	1546
168	313	1540
169	314	1533
170	315	1528
171	316	1522
172	317	1517
173	318	1511
174	319	1504
175	320	1498
176	320	1492
177	321	1485
178	322	1480
179	324	1478
180	325	1473
181	326	1468
182	327	1462
183	328	1456
184	329	1450
185	330	1444
186	330	1438
187	331	1433
188	332	1427
189	333	1421
190	334	1415
191	335	1410
192	335	1404
193	336	1399
194	338	1398
195	339	1393
196	340	1387
197	341	1382
198	342	1376
199	342	1371
200	343	1366
201	344	1361
202	345	1356
203	346	1351
204	347	1346
205	348	1341
206	348	1336
207	349	1331
208	350	1326
209	351	1321
210	353	1321
211	354	1318
212	355	1314
213	356	1310
214	358	1308
215	359	1304
